,movie_id,title,budget,revenue,release_date,movie_url
212,9782,The Night Listener,4000000,10770993,2/12/2006,https://www.the-numbers.com//movie/Night-Listener-The#tab=summary
213,9783,Sublime,1800000,0,6/15/2007,https://www.the-numbers.com//movie/Sublime#tab=summary
214,9793,The Hills Have Eyes 2,,,3/22/2007,
215,9819,Marvin's Room,23000000,12803305,12/18/1996,https://www.the-numbers.com//movie/Marvins-Room#tab=summary
216,9821,The Mighty,100000,6121582,10/23/1998,https://www.the-numbers.com//movie/Mighty-The#tab=summary
217,9822,Mighty Joe Young,80000000,50632037,12/25/1998,https://www.the-numbers.com//movie/Mighty-Joe-Young#tab=summary
218,9839,Beyond Borders,60000000,11427090,10/23/2003,https://www.the-numbers.com//movie/Beyond-Borders#tab=summary
219,9893,Sleepover,10000000,9408183,7/9/2004,https://www.the-numbers.com//movie/Sleepover#tab=summary
220,9900,Grandma's Boy,,,1/6/2006,
221,9912,The World's Fastest Indian,25000000,18991288,10/12/2005,https://www.the-numbers.com//movie/Worlds-Fastest-Indian-The#tab=summary
222,9916,The Last Sin Eater,2200000,388390,2/9/2007,https://www.the-numbers.com//movie/Last-Sin-Eater-The#tab=summary
223,9918,Glory Road,30000000,42799060,1/13/2006,https://www.the-numbers.com//movie/Glory-Road#tab=summary
224,9930,Legal Eagles,40000000,49851591,6/18/1986,https://www.the-numbers.com//movie/Legal-Eagles#tab=summary
225,9945,Vampires,20000000,20268825,4/15/1998,https://www.the-numbers.com//movie/Vampires#tab=summary
226,9955,Blades of Glory,61000000,145594548,3/30/2007,https://www.the-numbers.com//movie/Blades-of-Glory#tab=summary
227,9957,The Benchwarmers,35000000,65063726,4/7/2006,https://www.the-numbers.com//movie/Benchwarmers-The#tab=summary
228,9969,Deck the Halls,51000000,46815807,11/22/2006,https://www.the-numbers.com//movie/Deck-the-Halls#tab=summary
229,9991,Mean Machine,4500000,92723,12/26/2001,https://www.the-numbers.com//movie/Mean-Machine#tab=summary
230,10008,An American Haunting,14000000,30443277,5/5/2005,https://www.the-numbers.com//movie/American-Haunting-An#tab=summary
231,10034,High Heels and Low Lifes,10000000,226792,7/16/2001,https://www.the-numbers.com//movie/High-Heels-and-Low-Lifes#tab=summary
232,10040,Miss Congeniality 2: Armed and Fabulous,60000000,101382396,3/11/2005,https://www.the-numbers.com//movie/Miss-Congeniality-2-Armed-and-Fabulous#tab=summary
233,10050,Get Over It,10000000,19860259,3/8/2001,https://www.the-numbers.com//movie/Get-Over-It#tab=summary
234,10070,Feast,3200000,690872,10/14/2005,https://www.the-numbers.com//movie/Feast#tab=summary
235,10071,The Brothers Solomon,10000000,900926,9/7/2007,https://www.the-numbers.com//movie/Brothers-Solomon-The#tab=summary
236,10074,Hot Rod,25000000,14334401,8/3/2007,https://www.the-numbers.com//movie/Hot-Rod#tab=summary
237,10075,Blood and Chocolate,15000000,6551310,1/26/2007,https://www.the-numbers.com//movie/Blood-and-Chocolate#tab=summary
238,10105,Saints and Soldiers,780000,1310470,9/11/2003,https://www.the-numbers.com//movie/Saints-and-Soldiers#tab=summary
239,10115,Stick It,20000000,30399714,4/21/2006,https://www.the-numbers.com//movie/Stick-It#tab=summary
240,10133,Cypher,,,10/1/2002,
241,10154,Mickey Blue Eyes,40000000,53864342,8/16/1999,https://www.the-numbers.com//movie/Mickey-Blue-Eyes#tab=summary
242,10162,Waking Ned,3000000,55193251,9/15/1998,https://www.the-numbers.com//movie/Waking-Ned-Devine#tab=summary
243,10167,Half Past Dead,25000000,19233280,11/15/2002,https://www.the-numbers.com//movie/Half-Past-Dead#tab=summary
