movie_id,title,budget,revenue,release_date,movie_url
25353,La véritable histoire du Chat Botté,25000000,8208594,2009-04-01,https://www.the-numbers.com//movie/veritable-histoire-du-Chat-Botte-La#tab=summary
38543,Ironclad,25000000,5297411,2011-03-03,https://www.the-numbers.com//movie/Ironclad#tab=summary
290864,Kung Fu Killer,25000000,129115,2014-10-31,https://www.the-numbers.com//movie/Yi-ge-ren-de-wu-lin#tab=summary
242166,Red Sky,25000000,91116,2014-03-12,https://www.the-numbers.com//movie/Red-Sky#tab=summary
10480,Nurse Betty,24000000,27732366,2000-09-08,https://www.the-numbers.com//movie/Nurse-Betty#tab=summary
18828,Double Take,24000000,29823162,2001-01-12,https://www.the-numbers.com//movie/Double-Take-(2001)#tab=summary
3558,"Girl, Interrupted",24000000,28871190,1999-12-21,https://www.the-numbers.com//movie/Girl-Interrupted#tab=summary
6478,Beyond the Sea,24000000,8292914,2004-12-17,https://www.the-numbers.com//movie/Beyond-the-Sea#tab=summary
45881,The Bridge of San Luis Rey,24000000,1696765,2004-01-01,https://www.the-numbers.com//movie/Bridge-of-San-Luis-Rey-The#tab=summary
227707,The Adventurer: The Curse of the Midas Box,25000000,0,2013-12-05,https://www.the-numbers.com//movie/Mariah-Mundi-and-the-Midas-Box#tab=summary
19150,The Crew,23000000,13019253,2000-08-21,https://www.the-numbers.com//movie/Crew-The#tab=summary
9819,Marvin's Room,23000000,12803305,1996-12-18,https://www.the-numbers.com//movie/Marvins-Room#tab=summary
13579,The Longshots,23000000,11778396,2008-08-22,https://www.the-numbers.com//movie/Longshots-The#tab=summary
11156,Coco Before Chanel,23000000,50813834,2009-04-22,https://www.the-numbers.com//movie/Coco-avant-Chanel#tab=summary
354110,Forsaken,18000000,0,2015-09-16,https://www.the-numbers.com//movie/Forsaken-(2015)#tab=summary
10445,Shadowlands,22000000,25842377,1993-12-25,https://www.the-numbers.com//movie/Shadowlands#tab=summary
10279,Summer of Sam,22000000,19288130,1999-07-02,https://www.the-numbers.com//movie/Summer-of-Sam#tab=summary
19366,Josie and the Pussycats,22000000,14252830,2001-04-06,https://www.the-numbers.com//movie/Josie-and-the-Pussycats#tab=summary
1599,I Heart Huckabees,22000000,20034713,2004-09-10,https://www.the-numbers.com//movie/I-Heart-Huckabees#tab=summary
30379,Megiddo: Omega Code 2,22000000,6047691,2001-09-07,https://www.the-numbers.com//movie/Megiddo-Omega-Code-2#tab=summary
42586,Darling Lili,22000000,5000000,1970-01-01,https://www.the-numbers.com//movie/Darling-Lili#tab=summary
17709,Dudley Do-Right,22000000,9818792,1999-08-27,https://www.the-numbers.com//movie/Dudley-Do-Right#tab=summary
7548,The Libertine,22000000,9448623,2004-09-16,https://www.the-numbers.com//movie/Libertine-The#tab=summary
12085,Mad Money,22000000,25044057,2008-01-17,https://www.the-numbers.com//movie/Mad-Money#tab=summary
21494,Moliere,21600000,791154,2007-01-31,https://www.the-numbers.com//movie/Moliere#tab=summary
17795,My Fellow Americans,21500000,22331846,1996-12-20,https://www.the-numbers.com//movie/My-Fellow-Americans#tab=summary
1073,Arlington Road,21500000,24419219,1999-03-19,https://www.the-numbers.com//movie/Arlington-Road#tab=summary
